Word,Sum,Number,Weight
арест,-1.6,2.0,-0.8
арестовать,-1,1,-1.0
арестовывать,-1,1,-1.0
аристократ,1,1,1.0
аристократизм,1,1,1.0
аристократический,1.333333333333333,2.0,0.6666666666666665
аристократичность,1,1,1.0
аристократичный,1,1,1.0
аристократка,1,1,1.0
аритмия,-1,1,-1.0
аромат,1.666666666666667,2.0,0.8333333333333335
ароматический,1,1,1.0
ароматичность,1,1,1.0
ароматичный,1,1,1.0
ароматность,1,1,1.0
ароматный,1,1,1.0
артачиться,-1,1,-1.0
артериосклероз,-1,1,-1.0
артеросклероз,-1,1,-1.0
артист в своем деле,1,1,1.0
артист своего дела,1,1,1.0
артистизм,1,1,1.0
артистический,1,1,1.0
артистичность,1,1,1.0
артистичный,1,1,1.0
артрит,-1,1,-1.0
архаический,-1,1,-1.0
архаичность,-1,1,-1.0
архаичный,-1,1,-1.0
архиважный,1,1,1.0
астма,-1,1,-1.0
астматик,-1,1,-1.0
астматический,-1,1,-1.0
асфиксия,-1,1,-1.0
атака,-0.333333333333333,3.0,-0.111111111111111
атеросклероз,-1,1,-1.0
атеросклеротический,-1,1,-1.0
атмосферный выброс,-1,1,-1.0
аутсайдер,-1,1,-1.0
аутсайдерский,-1,1,-1.0
афера,-1.25,2.0,-0.625
аферист,-1,1,-1.0
аферистка,-1,1,-1.0
аферистский,-1,1,-1.0
афигенно,1,1,1.0
афигенный,1,1,1.0
афигеть как,1,1,1.0
афтершок,-1,1,-1.0
афтершоковый,-1,1,-1.0
ахиллесова пята,-1,1,-1.0
ахинея,-2.33333333333333,2.0,-1.166666666666665
баба,-1,1,-1.0
бабка,-1,1,-1.0
бабник,-1,1,-1.0
бабский,-1,1,-1.0
бабье,-1,1,-1.0
базарить,-1,1,-1.0
байка,0.0,2.0,0.0
баиньки,1,1,1.0
баклушничать,-1,1,-1.0
балабол,-1,1,-1.0
балаболка,-1,1,-1.0
балбес,-1,1,-1.0
балбеска,-1,1,-1.0
балда,-1,1,-1.0
балдеть,1,1,1.0
балласт,-1.0,3.0,-0.3333333333333333
балованный,-1,1,-1.0
баловать,-0.33333333333333304,2.0,-0.16666666666666652
баловаться,-1,1,-1.0
баловство,-1,1,-1.0
банальность,-2.0,2.0,-1.0
банальный,-1.333333333333333,2.0,-0.6666666666666665
банальщина,-1,1,-1.0
банда,-2.16666666666667,2.0,-1.083333333333335
бандгруппа,-1,1,-1.0
бандгруппировка,-1,1,-1.0
бандит,-2.2,2.0,-1.1
бандитизм,-1,1,-1.0
бандитка,-1,1,-1.0
бандитский,-2.0,2.0,-1.0
бандитствовать,-1,1,-1.0
бандитствующий,-1,1,-1.0
бандподполье,-1,1,-1.0
бандформирование,-2.33333333333333,2.0,-1.166666666666665
бандюга,-1,1,-1.0
бандюган,-1,1,-1.0
банить,-1,1,-1.0
банковская интервенция,0,1,0.0
банкрот,-2.0,2.0,-1.0
банкротство,-2.25,2.0,-1.125
бардак,-1,1,-1.0
бардачный,-1,1,-1.0
барсеточник,-1,1,-1.0
бархатистость,1,1,1.0
бархатистый,1,1,1.0
бархатность,1,1,1.0
бархатный,1.0,2.0,0.5
барышнический,-1,1,-1.0
барьер,-1.0,3.0,-0.3333333333333333
басмач,-1,1,-1.0
басмаческий,-1,1,-1.0
басмачество,-1,1,-1.0
басня,-1.0,2.0,-0.5
бастовать,-1,1,-1.0
бастующий,-1,1,-1.0
бахвал,-1,1,-1.0
бахвалка,-1,1,-1.0
бахвальский,-1,1,-1.0
бацилловый,-1,1,-1.0
башибузук,-1,1,-1.0
башковитость,1,1,1.0
башковитый,1,1,1.0
бдительность,2.0,2.0,1.0
бдительный,1.0,2.0,0.5
бегство капитала,-1,1,-1.0
бегство,-1.7777777777777781,2.0,-0.8888888888888891
беда,-1.666666666666667,2.0,-0.8333333333333335
бедлам,-1,1,-1.0
беднейший,-1,1,-1.0
бедненький,0.666666666666667,2.0,0.3333333333333335
беднеть,-1,1,-1.0
бедность,-2.0,2.0,-1.0
беднота,-1,1,-1.0
бедный,-4.2,4.0,-1.05
бедняга,-1,1,-1.0
бедняжка,-1,1,-1.0
бедняк,-1,1,-1.0
бедняцкий,-1,1,-1.0
бедокурить,-1,1,-1.0
бедолага,-1,1,-1.0
бедственность,-1,1,-1.0
бедственный,-2.66666666666667,2.0,-1.333333333333335
бедствие,-2.44444444444444,2.0,-1.22222222222222
бедствовать,-1,1,-1.0
без зазрения совести,-1,1,-1.0
без избытка,1,1,1.0
без инцидентов,1,1,1.0
без колебаний,1,1,1.0
без нареканий,1,1,1.0
без оглядки,1,1,1.0
без ограничений,1,1,1.0
без очереди,1,1,1.0
без предупреждения,-1,1,-1.0
без проблем,1,1,1.0
без проволочек,1,1,1.0
без происшествий,1,1,1.0
без серьезных инцидентов,1,1,1.0
без серьезных происшествий,1,1,1.0
без сомнения,1,1,1.0
без страха и упрека,1,1,1.0
без тени сомнения,1,1,1.0
без ума,1,1,1.0
без утайки,1,1,1.0
без электричества оставаться,-1,1,-1.0
без электричества остаться,-1,1,-1.0
безалаберность,-1,1,-1.0
безалаберный,-2.33333333333333,2.0,-1.166666666666665
безальтернативность,-1,1,-1.0
безальтернативный,-1.8888888888888888,2.0,-0.9444444444444444
безапелляционность,-1,1,-1.0
безапелляционный,-1,1,-1.0
безбедность,1,1,1.0
безбедный,1,1,1.0
безбилетник,-1,1,-1.0
безбилетница,-1,1,-1.0
безбилетный проезд,-1,1,-1.0
безбожный,-3.0,3.0,-1.0
безбоязненность,1,1,1.0
безбоязненный,1,1,1.0
безверие,-1,1,-1.0
безвинность,1,1,1.0
безвинный,1.2222222222222219,2.0,0.6111111111111109
безвкусие,-1,1,-1.0
безвкусица,-1,1,-1.0
безвкусность,-2.0,2.0,-1.0
безвкусный,-3.33333333333333,3.0,-1.11111111111111
безвластие,-1,1,-1.0
безвозбранность,1,1,1.0
безвозбранный,1,1,1.0
безволие,-1,1,-1.0
безвольность,-1,1,-1.0
безвольный,-2.22222222222222,2.0,-1.11111111111111
безвредность,1,1,1.0
безвредный,2.0,2.0,1.0
безвременность,-1,1,-1.0
безвременный,-1,1,-1.0
безвыходность,-1,1,-1.0
безвыходный,-1.8,2.0,-0.9
безголовость,-1,1,-1.0
безголовый,-1,1,-1.0
безграмотность,-1,1,-1.0
безграмотный,-1,1,-1.0
безгреховный,1,1,1.0
безгрешность,1,1,1.0
безгрешный,2.0,2.0,1.0
бездарность,-2.66666666666667,2.0,-1.333333333333335
бездарный,-2.0,2.0,-1.0
бездарь,-1,1,-1.0
бездействие,-2.0,2.0,-1.0
бездействовать,-1.666666666666667,2.0,-0.8333333333333335
безделица,0,1,0.0
безделка,0,1,0.0
безделье,-1,1,-1.0
бездельник,-2.33333333333333,2.0,-1.166666666666665
бездельница,-1,1,-1.0
бездельничать,-1,1,-1.0
безденежный,-2.0,2.0,-1.0
безденежье,-1,1,-1.0
бездеятельность,-1,1,-1.0
бездеятельный,-1,1,-1.0
бездождье,-1,1,-1.0
бездоказательность,-1,1,-1.0
бездоказательный,-1,1,-1.0
бездомничать,-1,1,-1.0
бездомничество,-1,1,-1.0
бездомность,-1,1,-1.0
бездомный,-1,1,-1.0
бездорожье,-1,1,-1.0
бездумность,-1,1,-1.0
бездумный,-2.0,2.0,-1.0
бездушие,-2.0,2.0,-1.0
бездушность,-1,1,-1.0
бездушный,-2.0,2.0,-1.0
безжалостность,-3.0,3.0,-1.0
безжалостный,-4.44444444444444,4.0,-1.11111111111111
безжизненность,-1,1,-1.0
безжизненный,-1.5,2.0,-0.75
беззаботность,2.0,2.0,1.0
